Time,Current,Voltage,Power,Module_Temp,weather_POA,weather_GHI,weather_DNI,weather_DHI,weather_Air_Temp,weather_RH,weather_Pressure,weather_Wind_speed,weather_Rain
2024-09-02 02:30,0,0.5,0,18.877,0,0,0,0,19.946,84.08,960.052,2.546,0
2024-09-02 02:40,0,0.508,0,18.901,0,0,0,0,19.965,83.96,960.001,3.198,0
2024-09-02 02:50,0,0.543,0,18.685,0,0,0,0,19.889,84.06,960.006,2.828,0
2024-09-02 03:00,0,0.546,0,18.576,0,0,0,0,19.78,84.43,959.873,2.804,0
2024-09-02 03:10,0,0.551,0,18.521,0,0,0,0,19.698,84.81,959.8,3.157,0
2024-09-02 03:20,0,0.559,0,18.549,0,0,0,0,19.619,85.25,959.649,3.799,0
2024-09-02 03:30,0,0.567,0,18.578,0,0,0,0,19.593,85.44,959.505,3.479,0
2024-09-02 03:40,0,0.57,0,18.482,0,0,0,0,19.524,85.77,959.508,3.707,0
2024-09-02 03:50,0,0.57,0,18.442,0,0,0,0,19.421,86.32,959.531,3.949,0
2024-09-02 04:00,0,0.57,0,18.36,0,0,0,0,19.348,86.68,959.425,3.927,0
2024-09-02 04:10,0,0.57,0,18.235,0,0,0,0,19.318,86.8,959.37,3.6,0
2024-09-02 04:20,0,0.57,0,18.252,0,0,0,0,19.31,86.89,959.295,3.98,0
2024-09-02 04:30,0,0.574,0,18.252,0,0,0,0,19.251,87.11,959.297,3.609,0
2024-09-02 04:40,0,0.574,0,18.121,0,0,0,0,19.196,87.46,959.268,3.949,0
2024-09-02 04:50,0,0.579,0,18.086,0,0,0,0,19.156,87.66,959.255,3.638,0
2024-09-02 05:00,0,0.586,0,17.982,0,0,0,0,19.111,87.94,959.255,3.565,0
2024-09-02 05:10,0,0.595,0,17.989,0,0,0,0,19.06,88.19,959.291,3.327,0
2024-09-02 05:20,0,0.586,0,17.858,0,0,0,0,19.025,88.37,959.259,3.066,0
2024-09-02 05:30,0,0.613,0,17.758,0,0,0,0,18.99,88.52,959.271,2.992,0
2024-09-02 05:40,0,0.648,0,17.689,0,0,0,0,18.972,88.72,959.309,2.77,0
2024-09-02 05:50,0,0.677,0,17.676,0,0,0,0,18.946,88.81,959.322,2.786,0
2024-09-02 06:00,0,0.778,0,17.659,0,0,0,0,18.922,88.94,959.438,2.091,0
2024-09-02 06:10,0,0.876,0,17.548,0,0,0,0,18.876,89.09,959.436,2.03,0
2024-09-02 06:20,0,1.86,0,17.263,0,0,0,0,18.815,89.22,959.38,0.972,0
2024-09-02 06:30,0,12.362,0,17.15,0,0,0,0,18.757,89.3,959.429,1.042,0
2024-09-02 06:40,0,30.566,0,17.163,0,0,0,0,18.717,89.3,959.602,1.037,0
2024-09-02 06:50,0.005,36.28,0.00024,17.077,0,0,0,0,18.727,89.37,959.796,0.838,0
